Id,Date,Time,Temperature,Stabilized,Total[ppm],Total[cpm],K[%],K[cpm],U[ppm],U[cpm],Th[ppm],Th[cpm],Dose,Dose units,Latitude,Longitude,Altitude,Section,Height,notes,
34,8066,1/27/2019,10:00:50,23.9,1,193.4,1597,2.1,140.5,4.3,29.6,7.7,14.6,8.2, uR/h,0,0,0,1,8,shale
35,8067,1/27/2019,10:00:50,23.7,1,175.9,1452.7,2.1,130.1,2.5,22.3,8.6,15.6,7.3, uR/h,0,0,0,1,8.25,sand
36,8068,1/27/2019,10:00:50,23.7,1,235.5,1945.3,2.8,165.6,2.3,23.3,10.3,18.8,8.7, uR/h,0,0,0,1,8.5,shale
37,8069,1/27/2019,10:00:50,23.7,1,213.9,1766.5,2.7,167.7,3.6,28.5,9.6,17.7,9.2, uR/h,0,0,0,1,8.75,sand (bed x18)
38,8070,1/27/2019,10:00:50,23.7,1,230.6,1904.4,2.4,162.5,5.1,34.8,8.8,16.7,9.5, uR/h,0,0,0,1,9,shale
39,8071,1/27/2019,10:00:50,23.6,1,244,2015.3,2.5,167.7,5.5,35.9,8.1,15.6,9.7, uR/h,0,0,0,1,9.25,shale
40,8072,1/27/2019,10:00:50,23.6,1,263.2,2174.3,3.4,192.8,1.3,19.1,11,19.8,9.2, uR/h,0,0,0,1,9.5,shale
41,8073,1/27/2019,10:00:50,23.6,1,235.6,1946.3,2.9,176.1,2.5,26.5,12.1,21.9,9.6, uR/h,0,0,0,1,9.75,shale-rock was wet
42,8074,1/27/2019,10:00:50,23.5,1,239.3,1976.6,3.1,175,1,15,8.6,15.6,8, uR/h,0,0,0,1,10,shale
43,8075,1/27/2019,10:00:50,23.3,1,235.5,1945.1,2.7,159.4,2.2,21.2,9.1,16.7,8.2, uR/h,0,0,0,1,10.25,shale
44,8076,1/27/2019,10:00:50,23.3,1,234.9,1939.9,3,175,2.8,22.3,7.8,14.6,8.5, uR/h,0,0,0,1,10.5,shale
45,8077,1/27/2019,10:00:50,23.2,1,238.4,1969.4,2.8,171.9,2.6,25.4,10.9,19.8,9.2, uR/h,0,0,0,1,10.75,shale
46,8078,1/27/2019,10:00:50,23.1,1,235.5,1945.3,2.9,179.2,4.3,30.6,8.8,16.7,9.6, uR/h,0,0,0,1,11,shale right below x19
47,8079,1/27/2019,10:00:50,23.1,1,231.1,1908.7,2.4,144.7,1.8,21.2,10.5,18.8,7.9, uR/h,0,0,0,1,11.5,calcilutite-skipped one 25cm interval above x19
48,8080,1/27/2019,10:00:50,23.1,1,250.4,2067.9,2.4,163.6,5.5,35.9,8.1,15.6,9.5, uR/h,0,0,0,1,11.75,shale/sand
49,8081,1/27/2019,10:00:50,23.2,1,219.9,1816.6,2.5,145.8,1.8,18.1,8,14.6,7.3, uR/h,0,0,0,1,12,shale/sand
50,8082,1/27/2019,10:00:50,23.3,1,170.1,1404.6,1.8,111.3,2.5,19.1,6.2,11.5,6.1, uR/h,0,0,0,1,12.25,sand - wet
51,8083,1/27/2019,10:00:50,23.3,1,132.1,1091.4,1.5,96.6,2.4,18.1,5.6,10.4,5.4, uR/h,0,0,0,1,12.5,calcilutite (bed A1)
